0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5,Idx,Period M1,FMA M1,SLMA M1,550MA M1,DeltaC M1,Macd M1,Plot2 M1,Plot3 M1,Plot4 M1
29,2024.05.31 07:00:00,1.08244,1.08273,1.07795,Negative,-0.000004,-0.000665,-0.000350,-0.000445,29,2024.06.03 05:15:00,1.08524,1.08506,1.08436,Positive,0.000153,0.000466,0.000376,0.000506,29,2024.06.03 10:10:00,1.08523,1.08524,1.08400,Positive,0.000038,0.000001,0.000038,0.000062,29,2024.06.03 12:07:00,1.08391,1.08393,1.08484,Negative,0.000009,-0.000135,-0.000156,-0.000218
30,2024.05.31 06:00:00,1.08249,1.08277,1.07795,Negative,0.000057,-0.000660,-0.000344,-0.000436,30,2024.06.03 05:00:00,1.08523,1.08505,1.08436,Positive,0.000177,0.000473,0.000378,0.000507,30,2024.06.03 10:05:00,1.08524,1.08524,1.08400,Positive,0.000057,0.000004,0.000039,0.000064,30,2024.06.03 12:06:00,1.08392,1.08393,1.08484,Negative,0.000027,-0.000134,-0.000157,-0.000218
31,2024.05.31 05:00:00,1.08255,1.08282,1.07794,Negative,0.000123,-0.000656,-0.000339,-0.000429,31,2024.06.03 04:45:00,1.08522,1.08503,1.08435,Positive,0.000206,0.000480,0.000379,0.000509,31,2024.06.03 10:00:00,1.08523,1.08524,1.08400,Positive,0.000053,0.000001,0.000039,0.000063,31,2024.06.03 12:05:00,1.08392,1.08393,1.08484,Negative,0.000029,-0.000138,-0.000158,-0.000221
32,2024.05.31 04:00:00,1.08263,1.08286,1.07793,Negative,0.000284,-0.000631,-0.000327,-0.000413,32,2024.06.03 04:30:00,1.08518,1.08499,1.08435,Positive,0.000193,0.000474,0.000377,0.000505,32,2024.06.03 09:55:00,1.08521,1.08522,1.08400,Positive,0.000046,-0.000004,0.000038,0.000063,32,2024.06.03 12:04:00,1.08391,1.08393,1.08484,Negative,0.000027,-0.000144,-0.000161,-0.000224
33,2024.05.31 03:00:00,1.08264,1.08287,1.07793,Negative,0.000394,-0.000628,-0.000322,-0.000405,33,2024.06.03 04:15:00,1.08514,1.08497,1.08435,Positive,0.000172,0.000467,0.000374,0.000501,33,2024.06.03 09:50:00,1.08518,1.08520,1.08399,Negative,0.000012,-0.000015,0.000035,0.000059,33,2024.06.03 12:03:00,1.08391,1.08393,1.08484,Negative,0.000027,-0.000149,-0.000163,-0.000226
34,2024.05.31 02:00:00,1.08260,1.08286,1.07792,Negative,0.000409,-0.000655,-0.000326,-0.000410,34,2024.06.03 04:00:00,1.08512,1.08494,1.08435,Positive,0.000166,0.000465,0.000373,0.000499,34,2024.06.03 09:45:00,1.08516,1.08520,1.08399,Negative,-0.000021,-0.000024,0.000033,0.000057,34,2024.06.03 12:02:00,1.08391,1.08393,1.08485,Negative,0.000028,-0.000154,-0.000165,-0.000229
35,2024.05.31 01:00:00,1.08256,1.08284,1.07791,Negative,0.000430,-0.000682,-0.000330,-0.000415,35,2024.06.03 03:45:00,1.08508,1.08492,1.08434,Positive,0.000151,0.000461,0.000371,0.000496,35,2024.06.03 09:40:00,1.08515,1.08519,1.08399,Negative,-0.000044,-0.000029,0.000033,0.000056,35,2024.06.03 12:01:00,1.08392,1.08393,1.08485,Negative,0.000043,-0.000155,-0.000166,-0.000230
36,2024.05.31 00:00:00,1.08251,1.08283,1.07790,Negative,0.000433,-0.000715,-0.000336,-0.000421,36,2024.06.03 03:30:00,1.08505,1.08489,1.08434,Positive,0.000125,0.000454,0.000368,0.000492,36,2024.06.03 09:35:00,1.08513,1.08519,1.08399,Negative,-0.000078,-0.000036,0.000032,0.000055,36,2024.06.03 12:00:00,1.08392,1.08393,1.08485,Positive,0.000057,-0.000157,-0.000167,-0.000231
37,2024.05.30 23:00:00,1.08246,1.08282,1.07789,Negative,0.000431,-0.000750,-0.000341,-0.000427,37,2024.06.03 03:15:00,1.08502,1.08487,1.08434,Positive,0.000119,0.000455,0.000368,0.000491,37,2024.06.03 09:30:00,1.08513,1.08519,1.08398,Negative,-0.000102,-0.000038,0.000032,0.000056,37,2024.06.03 11:59:00,1.08392,1.08394,1.08485,Positive,0.000071,-0.000160,-0.000168,-0.000233
38,2024.05.30 22:00:00,1.08242,1.08281,1.07788,Negative,0.000441,-0.000781,-0.000345,-0.000431,38,2024.06.03 03:00:00,1.08499,1.08484,1.08434,Positive,0.000098,0.000452,0.000366,0.000488,38,2024.06.03 09:25:00,1.08516,1.08521,1.08398,Negative,-0.000085,-0.000028,0.000037,0.000061,38,2024.06.03 11:58:00,1.08391,1.08393,1.08485,Positive,0.000074,-0.000166,-0.000171,-0.000236
